free sulfur dioxide,total sulfur dioxide,quality
20.0,139.0,0
11.0,119.0,0
11.0,119.0,0
32.0,162.0,1
32.0,162.0,1
8.0,178.0,0
8.0,178.0,0
25.0,154.0,0
60.0,196.0,0
15.0,86.0,1
96.0,170.0,1
96.0,170.0,1
15.0,70.0,1
37.0,131.0,1
37.0,131.0,1
35.0,135.0,1
15.0,83.0,1
16.0,99.0,1
15.0,83.0,1
69.0,148.0,0
39.0,96.0,1
38.0,95.0,1
5.0,25.0,0
64.0,138.0,1
13.0,92.0,0
44.0,137.0,1
13.0,59.0,1
81.0,147.0,1
13.0,59.0,1
3.0,89.0,0
41.0,98.0,1
41.0,98.0,1
41.0,98.0,1
39.0,150.0,1
31.0,119.0,1
32.0,111.0,1
33.0,121.0,1
6.0,88.0,0
22.0,142.0,1
22.0,142.0,1
138.5,272.0,0
30.0,110.0,1
29.0,142.0,0
6.0,76.0,1
30.0,110.0,1
38.0,201.0,0
31.0,203.0,0
34.0,116.0,1
39.0,124.0,1
37.0,125.0,1
31.0,106.0,0
10.0,70.0,0
42.0,123.0,1
8.0,111.0,0
31.0,105.0,1
37.0,100.0,1
36.0,92.0,1
64.0,157.0,0
32.0,99.0,0
29.0,154.0,1
21.0,73.0,1
21.0,73.0,1
124.0,208.0,0
56.0,140.0,1
56.0,140.0,1
37.0,113.0,1
24.0,111.0,0
18.0,76.0,0
28.0,81.0,1
22.0,105.0,1
59.0,128.0,1
59.0,128.0,1
105.0,179.0,1
27.0,93.0,1
105.0,179.0,1
37.0,97.0,1
19.0,86.0,1
37.0,97.0,1
20.0,102.0,1
19.0,86.0,1
7.0,81.0,1
19.0,50.0,0
5.0,34.0,0
8.0,31.0,0
5.0,124.0,0
6.0,122.0,0
49.0,128.0,1
34.0,128.0,1
46.0,115.0,1
11.0,76.0,0
54.0,155.0,1
34.0,128.0,1
46.0,115.0,1
26.0,74.0,1
37.0,122.0,1
37.0,122.0,1
34.0,95.0,0
18.0,88.0,0
29.0,130.0,1
29.0,130.0,1
15.0,143.0,0
42.0,162.0,0
63.0,193.0,0
25.0,65.0,0
4.0,10.0,0
43.0,116.0,1
28.0,67.0,0
18.0,102.0,0
35.0,200.0,0
35.0,200.0,0
6.0,91.0,0
8.0,109.0,0
32.0,110.0,1
15.0,82.0,0
20.0,96.0,1
19.0,143.0,1
39.0,118.0,1
24.0,87.0,1
13.0,164.0,0
5.0,69.0,0
27.0,113.0,0
27.0,113.0,0
6.0,51.0,0
11.0,74.0,0
5.0,47.0,0
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
15.0,96.0,1
45.0,155.0,1
30.0,111.0,0
7.0,108.0,0
75.0,129.0,0
8.0,50.0,0
25.0,133.0,0
25.0,133.0,0
289.0,440.0,0
18.0,96.0,1
28.0,138.0,1
6.0,132.0,0
30.0,95.0,0
31.0,127.0,1
29.0,118.0,1
24.0,125.0,1
9.0,65.0,0
10.0,44.0,0
6.0,81.0,0
